bait_uniprot	bait_symbol	bait_usage
A1XBS5	CIBAR1	2
A2A2V5	SERTM1	2
A2A2Y4	FRMD3	2
A2A3K4	PTPDC1	2
A2A3R6	RPS6	2
A2BDD9	NA	2
A2BDE7	NA	2
A2IDD5	CCDC78	2
A2RRC6	NA	2
A2RRC9	NA	2
A2RRD8	ZNF320	1
A2RRG2	NA	2
A2RRH5	WDR27	2
A2RRL7	TMEM213	2
A2RRL9	NA	1
A2RRP1	NBAS	2
A2RTX5	TARS3	2
A2RU14	TMEM218	2
A2RU30	TESPA1	2
A2RU48	SMCO3	2
A2RU67	FAM234B	2
A2RU80	NA	2
A2RUC4	TYW5	2
A2RUH7	MYBPHL	2
A2RUQ5	TMEM132E-DT	2
A2RUT3	TMEM89	2
A2RUU4	CLPSL1	2
A2VCK2	DCDC2B	2
A2VDF0	FUOM	2
A4D0P7	ORC5	2
A4D0Q3	ATXN7L1	2
A4D161	FAM221A	2
A4D1B5	GSAP	2
A4D1E9	GTPBP10	2
A4D1I3	NA	1
A4D1P6	WDR91	2
A4D1S0	KLRG2	2
A4D1S5	RAB19	2
A4D1T9	PRSS37	2
A4D1W7	INHBA	2
A4D2B0	MBLAC1	2
A4D2J0	YKT6	2
A4D2J9	CAMK2B	2
A4D2P6	GRID2IP	2
A4FTV9	H2AC16	2
A4FU01	MTMR11	2
A4FU49	SH3D21	2
A4FVC0	NA	1
A4PIV7	NA	1
A4PIV8	NA	2
A4PIV9	NA	2
A4PIW0	NA	2
A4QMS7	CFAP90	2
A4QPB0	NA	2
A4UGR9	XIRP2	2
A5D8T8	CLEC18A	2
A5D8V6	VPS37C	2
A5D8V7	ODAD3	2
A5D8W4	NA	2
A5D903	NA	2
A5PKU2	NA	1
A5PKW4	PSD	2
A5PL33	KRBA1	2
A5PLN9	TRAPPC13	2
A5X5Y0	HTR3E	2
A5YKK6	CNOT1	2
A5YM69	ARHGEF35	2
A5YM72	CARNS1	2
A6H8W8	ITSN2	2
A6H8Z2	FAM221B	2
A6NC98	CCDC88B	2
A6NCF5	KLHL33	2
A6ND01	IZUMO1R	2
A6ND36	FAM83G	1
A6ND48	OR14I1	2
A6ND91	ASPDH	2
A6NDB9	PALM3	2
A6NDG6	PGP	2
A6NDP7	MYADML2	2
A6NE52	WDR97	2
A6NE82	MBD3L3	2
A6NED2	RCCD1	2
A6NEQ0	RBMY1E	2
A6NER0	TBC1D3F	2
A6NFR6	C5orf60	1
A6NFY7	SDHAF1	2
A6NGG8	PCARE	2
A6NGQ2	OOEP	1
A6NH52	TVP23A	2
A6NHC0	CAPN8	2
A6NHJ4	ZNF860	1
A6NHL2	TUBAL3	2
A6NHQ4	EPOP	2
A6NHR9	SMCHD1	2
A6NI15	MSGN1	2
A6NI28	ARHGAP42	2
A6NI72	NCF1B	2
A6NJ78	METTL15	2
A6NJB7	PRR19	2
A6NJL1	ZSCAN5B	2
A6NK59	ASB14	2
A6NK89	RASSF10	2
A6NKB5	PCNX2	2
A6NKF2	ARID3C	2
A6NKM8	SLC35A2	2
A6NLU0	RFPL4A	2
A6NLX3	SPDYE4	1
A6NMK7	CPSF4L	2
A6NMU8	NLGN4Y	2
A6PVS8	LRRIQ3	2
A6ZKI3	RTL8C	2
A7E2Y1	MYH7B	2
A7KAX9	ARHGAP32	2
A7MCY6	TBKBP1	2
A7MD48	SRRM4	2
A8K0Y0	OPCML	2
A8K0Z3	WASHC1	2
A8K251	NA	1
A8K287	SNAP23	2
A8K2B9	NA	2
A8K2M0	PSMC4	1
A8K2R3	NA	1
A8K3C2	NA	2
A8K3Q9	NA	2
A8K4G0	CD300LB	1
A8K571	BMP7	1
A8K5H9	KLHL40	1
A8K660	ADIPOQ	1
A8K7B7	PPP2R1A	2
A8K8P3	SFI1	2
A8K8V0	ZNF785	2
A8K8Y5	NA	1
A8K900	NA	1
A8K932	KIF9	1
A8K940	NA	1
A8K979	ERI2	2
A8K9C1	NA	2
A8KA13	BCL6B	2
A8KA83	NA	2
A8MQ03	CYSRT1	2
A8MRB1	S100B	2
A8MT69	CENPX	2
A8MT70	ZBBX	2
A8MTA8	FAM166B	2
A8MTQ0	NOTO	2
A8MTZ0	BBIP1	2
A8MUH7	PDZK1P1	2
A8MUP2	CSKMT	2
A8MV65	VGLL3	2
A8MV81	HIGD1C	2
A8MVS5	C19orf38	2
A8MVW5	HEPACAM2	2
A8MW92	PHF20L1	2
A8MW95	BECN2	1
A8MWD9	SNRPGP15	2
A8MXD5	GRXCR1	2
A8MYP8	ODF3B	2
A8MYZ6	FOXO6	2
A8MZ59	LEUTX	2
A9QM74	KPNA7	2
A9UEZ6	NA	2
A9UF07	NA	2
A9UGY9	ATG5	1
A9UHW6	MIF4GD	2
B0B1U2	NA	1
B0FTY2	NA	1
B0LPE5	AKT1	2
B0UZZ8	NA	2
B0YJ76	DHFR	1
B0YJ81	HACD1	2
B1AHB0	MCM5	1
B1AHC3	PRR5-ARHGAP8	2
B1AK13	NA	2
B1ALG1	SMARCA2	2
B1APZ0	GNG4	1
B1AQ61	UBE4B	2
B2R4U6	NA	2
B2R550	NA	1
B2R6J3	NA	1
B2R7W0	NA	2
B2R886	UBTD2	2
B2R894	NA	2
B2R8T5	NA	2
B2R8Y4	NA	1
B2R9H7	NA	1
B2R9Y1	NA	1
B2RAB7	NA	2
B2RB89	PRKACB	1
B2RC52	KCNJ11	1
B2RC85	RSPH10B2	2
B2RDC9	NA	1
B2RDE6	NA	2
B2RDP1	NA	2
B2RDU6	MVK	2
B2RNN3	C1QTNF9B	2
B2RTY4	MYO9A	2
B2RU33	POTEC	2
B2RUY7	VWC2L	2
B2RUZ4	SMIM1	1
B2RV13	CFAP97D1	2
B2RWN4	NA	2
B2RWP4	TACC2	2
B2RXF5	ZBTB42	2
B2RXH8	HNRNPCL2	2
B2Y833	NA	2
B3KM70	NA	2
B3KPL7	NA	2
B3KPU6	PTCD2	1
B3KQG4	CILK1	1
B3KSH4	UBE2K	1
B3KSW4	RGS20	2
B3KTP4	APOL6	1
B3KTQ9	P4HB	2
B3KTT5	HSPA1A	2
B3KUN1	PPP2CA	2
B3KV54	RAD54L2	1
B3KW44	METTL8	2
B3KWQ7	NA	2
B3KX63	NA	1
B3SHH9	TMEM114	2
B4DE54	BANP	2
B4DE84	NA	1
B4DHB6	NA	2
B4DJ51	CALM1	1
B4DLN1	NA	2
B4DNA4	NA	2
B4DP61	SMN2	2
B4DR88	DHX40	2
B4DUB1	CDK19	2
B4DYC6	SUGT1	2
B5MC10	MPV17	2
B5MC51	LIMK2	2
B7Z207	NA	2
B7Z3H4	BTRC	2
B7Z3K1	TMEM128	2
B7Z613	GPM6B	2
B7ZBD5	RABL2A	2
B7ZBJ6	CAB39L	2
B7ZLI8	STK19	2
B7ZLP7	NA	1
B7ZLY0	NA	2
B7ZMN2	XKR3	1
B8A4K4	CYSRT1	2
B8Q183	NA	1
B9A025	LOXL3	2
B9A064	IGLL5	2
B9EK46	NA	2
C0H5X0	MMP28	2
C0H5X2	NA	1
C1K0Y5	NA	1
C3PTT6	NA	2
C6GKH1	IL32	1
C9E8W1	NA	1
C9J3G1	CHN1	2
C9J6V4	ARHGAP26	2
C9JCN9	HSBP1L1	2
C9JE40	PATL2	2
C9JG97	AAMP	2
C9JJ79	PILRA	2
C9JRZ8	AKR1B15	2
C9JYL6	RET	2
D2IYK1	NA	1
D2IYK5	NA	1
D3DR40	NA	1
D3DR86	NA	2
D3DTR7	NA	1
D3DTS7	NA	1
D3DU92	RNPS1	1
D3DUQ6	NA	1
D3DWK9	NA	2
D6R9G5	KLHL2	2
D6RA96	NA	2
D6RAP2	TLR1	2
D6RF84	NA	2
D6RGH6	MCIDAS	2
D6RGY6	SLC45A2	2
D9YZU9	HBG2	1
E2PSM9	NA	1
E3W994	CLASP2	2
E5KN55	PPID	1
E5KS60	SUCLA2	1
E5RFK5	CCNC	2
E5RI47	MPP2	2
E7CU85	NA	2
E7EPC3	WNT9B	2
E7EPJ1	RIN2	2
E7EPT8	RGL4	2
E7EQL6	PRODH	2
E7EQS8	TET2	1
E7ERP6	NCK2	2
E7ET36	TFR2	2
E9KL35	RACK1	2
E9PB39	ARHGEF10	2
E9PDS3	ITGA9	2
E9PJI5	NPIPA7	2
E9PJI6	BANP	2
E9PK12	FUZ	2
E9PK14	SEC16B	2
E9PK97	SERPING1	2
E9PKR8	SULT1A2	2
E9PMV2	HLA-DQA1	2
E9PNY5	FCGR3B	2
E9PPJ0	SF3B2	2
E9PQX1	TMEM262	1
E9PRZ2	PGAP2	2
E9PS44	IFITM3	2
E9PSE9	CCDC198	2
F1D8P7	NR1H2	2
F4ZW62	ILF2	1
F5GX28	KDM4B	2
F5GYW9	SERPINB11	2
F5H1C8	SLC15A3	2
F5H5M1	SHC4	2
F5H7Q8	MICB	2
G2XKQ0	SUMO1P1	2
G3V162	TARDBP	2
G3V1X1	ZFC3H1	2
G3V2R1	SAMD4A	2
G4U4J3	NA	2
G4XUV3	NA	2
G5E9A7	DMWD	1
G5E9H6	DACT3	2
G5E9L9	DCLK2	2
G5E9M4	ZNF277	2
G5E9N2	TRO	2
H0YDU7	ATM	2
H0YE48	FPGT-TNNI3K	2
H0YHG0	NA	1
H0YIS7	NA	2
H0YKB7	IL16	2
H0YKC7	MKX	2
H3BR10	SMLR1	2
H3BTS1	USB1	2
H3BU77	CCDC179	2
H3BUJ7	E4F1	1
H7C1K6	IFI44L	2
I3L0A0	NA	2
I3L3G9	NDE1	2
I3WAC9	INS	1
I4ENP2	NA	2
I6L957	NA	2
I6L9A0	DMRTB1	1
I6L9F6	NA	2
I7GY12	C18orf54	1
J3JSM9	NA	2
J3KN16	ECPAS	2
J3KNH0	KICS2	2
J3KPF9	KIF3A	2
J3KQ12	BSCL2	2
J3KSN0	SECTM1	2
J3QSH9	PER1	2
K7EJ46	SMIM22	2
K7EM05	ACBD4	2
L7RT22	ITGB5	1
O00115	DNASE2	2
O00116	AGPS	2
O00124	UBXN8	2
O00139	KIF2A	2
O00141	SGK1	2
O00148	DDX39A	2
O00151	PDLIM1	2
O00154	ACOT7	1
O00155	GPR25	1
O00159	MYO1C	2
O00160	MYO1F	2
O00161	SNAP23	2
O00165	HAX1	2
O00167	EYA2	2
O00168	FXYD1	2
O00170	AIP	2
O00175	CCL24	2
O00178	GTPBP1	2
O00180	KCNK1	2
O00182	LGALS9	2
O00186	STXBP3	2
O00187	MASP2	2
O00189	AP4M1	2
O00193	C11orf58	2
O00194	RAB27B	2
O00198	HRK	1
O00203	AP3B1	1
O00204	SULT2B1	2
O00206	TLR4	2
O00212	RHOD	2
O00213	APBB1	2
O00214	LGALS8	2
O00219	HAS3	2
O00220	TNFRSF10A	2
O00221	NFKBIE	2
O00230	CORT	2
O00231	PSMD11	2
O00232	PSMD12	2
O00233	PSMD9	2
O00238	BMPR1B	2
O00241	SIRPB1	2
O00244	ATOX1	2
O00253	AGRP	2
O00254	F2RL2	1
O00255	MEN1	2
O00257	CBX4	2
O00264	PGRMC1	2
O00267	SUPT5H	2
O00268	TAF4	2
O00273	DFFA	2
O00291	HIP1	2
O00294	TULP1	2
O00295	TULP2	2
O00299	CLIC1	2
O00303	EIF3F	2
O00305	CACNB4	2
O00308	WWP2	2
O00311	CDC7	2
O00322	UPK1A	2
O00327	BMAL1	2
O00329	PIK3CD	2
O00330	PDHX	2
O00338	SULT1C2	2
O00358	FOXE1	2
O00399	DCTN6	2
O00400	SLC33A1	2
O00401	WASL	2
O00408	PDE2A	2
O00409	FOXN3	2
O00410	IPO5	2
O00411	POLRMT	2
O00418	EEF2K	2
O00421	CCRL2	2
O00422	SAP18	2
O00423	EML1	2
O00425	IGF2BP3	2
O00429	DNM1L	2
O00442	RTCA	2
O00443	PIK3C2A	2
O00444	PLK4	2
O00445	SYT5	2
O00453	LST1	2
O00459	PIK3R2	2
O00463	TRAF5	2
O00468	AGRN	2
O00470	MEIS1	2
O00471	EXOC5	2
O00472	ELL2	2
O00479	HMGN4	2
O00481	BTN3A1	2
O00482	NR5A2	2
O00483	NDUFA4	2
O00487	PSMD14	2
O00488	ZNF593	2
O00499	BIN1	2
O00505	KPNA3	2
O00506	STK25	2
O00512	BCL9	1
O00519	FAAH	2
O00522	KRIT1	2
O00526	UPK2	1
O00533	CHL1	2
O00534	VWA5A	2
O00541	PES1	2
O00555	CACNA1A	1
O00560	SDCBP	2
O00562	PITPNM1	2
O00567	NOP56	2
O00570	SOX1	2
O00571	DDX3X	2
O00584	RNASET2	2
O00585	CCL21	2
O00590	ACKR2	2
O00592	PODXL	2
O00602	FCN1	2
O00622	CCN1	2
O00623	PEX12	1
O00624	SLC17A2	2
O00626	CCL22	2
O00628	PEX7	2
O00629	KPNA4	2
O00631	SLN	1
O00634	NTN3	2
O00635	TRIM38	2
O00712	NFIB	2
O00716	E2F3	2
O00743	PPP6C	2
O00744	WNT10B	2
O00746	NME4	2
O00750	PIK3C2B	2
O00755	WNT7A	2
O00757	FBP2	2
O00762	UBE2C	2
O00767	SCD	1
O14490	DLGAP1	1
O14492	SH2B2	2
O14493	CLDN4	2
O14494	PLPP1	2
O14495	PLPP3	1
O14497	ARID1A	2
O14498	ISLR	2
O14503	BHLHE40	2
O14508	SOCS2	2
O14512	SOCS7	2
O14513	NCKAP5	1
O14514	ADGRB1	2
O14519	CDK2AP1	2
O14520	AQP7	2
O14521	SDHD	2
O14522	PTPRT	2
O14523	C2CD2L	1
O14524	NEMP1	2
O14525	ASTN1	2
O14526	FCHO1	2
O14530	TXNDC9	2
O14531	DPYSL4	2
O14543	SOCS3	2
O14544	SOCS6	2
O14545	TRAFD1	2
O14558	HSPB6	2
O14559	ARHGAP33	2
O14561	NDUFAB1	2
O14569	CYB561D2	2
O14576	DYNC1I1	2
O14579	COPE	2
O14581	OR7A17	2
O14593	RFXANK	2
O14595	CTDSP2	2
O14599	BPY2C	1
O14602	EIF1AY	2
O14607	UTY	2
O14617	AP3D1	2
O14618	CCS	2
O14625	CXCL11	2
O14628	ZNF195	2
O14633	LCE2B	2
O14639	ABLIM1	2
O14640	DVL1	2
O14641	DVL2	2
O14645	DNALI1	2
O14646	CHD1	2
O14647	CHD2	2
O14653	GOSR2	1
O14654	IRS4	2
O14656	TOR1A	2
O14657	TOR1B	2
O14662	STX16	2
O14669	PRRG2	2
O14672	ADAM10	2
O14678	ABCD4	2
O14681	EI24	2
O14682	ENC1	2
O14686	KMT2D	2
O14713	ITGB1BP1	2
O14717	TRDMT1	2
O14718	RRH	2
O14727	APAF1	2
O14730	RIOK3	2
O14732	IMPA2	2
O14733	MAP2K7	2
O14734	ACOT8	2
O14735	CDIPT	2
O14737	PDCD5	2
O14744	PRMT5	2
O14745	NHERF1	2
O14746	TERT	2
O14753	OVOL1	2
O14756	HSD17B6	2
O14757	CHEK1	2
O14763	TNFRSF10B	2
O14764	GABRD	2
O14770	MEIS2	2
O14773	TPP1	2
O14775	GNB5	2
O14776	TCERG1	2
O14777	NDC80	2
O14782	KIF3C	2
O14786	NRP1	2
O14787	TNPO2	2
O14788	TNFSF11	2
O14791	APOL1	1
O14793	MSTN	2
O14796	SH2D1B	2
O14798	TNFRSF10C	2
O14802	POLR3A	2
O14807	MRAS	2
O14810	CPLX1	2
O14817	TSPAN4	2
O14818	PSMA7	2
O14827	RASGRF2	2
O14829	PPEF1	2
O14830	PPEF2	2
O14832	PHYH	2
O14836	TNFRSF13B	2
O14841	OPLAH	2
O14843	FFAR3	2
O14862	AIM2	2
O14863	SLC30A4	2
O14867	BACH1	2
O14874	BCKDK	2
O14879	IFIT3	2
O14880	MGST3	2
O14893	GEMIN2	2
O14894	TM4SF5	2
O14896	IRF6	2
O14901	KLF11	2
O14904	WNT9A	2
O14905	WNT9B	2
O14907	TAX1BP3	2
O14908	GIPC1	2
O14910	LIN7A	2
O14917	PCDH17	2
O14920	IKBKB	2
O14921	RGS13	2
O14924	RGS12	2
O14925	TIMM23	2
O14926	FSCN2	2
O14929	HAT1	2
O14931	NCR3	2
O14933	UBE2L6	2
O14936	CASK	2
O14939	PLD2	2
O14944	EREG	2
O14949	UQCRQ	2
O14950	MYL12B	1
O14958	CASQ2	2
O14964	HGS	2
O14965	AURKA	2
O14966	RAB29	2
O14972	VPS26C	2
O14974	PPP1R12A	2
O14976	GAK	2
O14977	AZIN1	2
O14978	ZNF263	2
O14979	HNRNPDL	2
O14980	XPO1	2
O14990	PPP1R2C	2
O15013	ARHGEF10	2
O15015	ZNF646	2
O15027	SEC16A	2
O15031	PLXNB2	2
O15033	AREL1	2
O15034	RIMBP2	2
O15037	KHNYN	2
O15040	TECPR2	2
O15042	U2SURP	2
O15047	SETD1A	1
O15054	KDM6B	2
O15055	PER2	2
O15056	SYNJ2	2
O15060	ZBTB39	2
O15061	SYNM	2
O15062	ZBTB5	2
O15063	GARRE1	2
O15066	KIF3B	2
O15068	MCF2L	2
O15072	ADAMTS3	2
O15075	DCLK1	2
O15078	CEP290	2
O15079	SNPH	2
O15084	ANKRD28	2
O15085	ARHGEF11	2
O15105	SMAD7	2
O15111	CHUK	2
O15116	LSM1	2
O15117	FYB1	2
O15118	NPC1	2
O15119	TBX3	2
O15120	AGPAT2	2
O15121	DEGS1	2
O15123	ANGPT2	2
O15126	SCAMP1	2
O15127	SCAMP2	1
O15131	KPNA5	2
O15143	ARPC1B	2
O15144	ARPC2	2
O15145	ARPC3	2
O15146	MUSK	2
O15151	MDM4	2
O15155	BET1	2
O15156	ZBTB7B	2
O15160	POLR1C	2
O15162	PLSCR1	2
O15164	TRIM24	2
O15165	LDLRAD4	2
O15169	AXIN1	2
O15173	PGRMC2	2
O15178	TBXT	2
O15182	CETN3	2
O15194	CTDSPL	2
O15195	VILL	2
O15197	EPHB6	2
O15198	SMAD9	2
O15205	UBD	2
O15209	ZBTB22	2
O15211	RGL2	2
O15217	GSTA4	2
O15218	GPR182	2
O15226	NKRF	2
O15229	KMO	2
O15231	ZNF185	2
O15232	MATN3	2
O15234	CASC3	2
O15235	MRPS12	2
O15243	LEPROT	1
O15245	SLC22A1	2
O15247	CLIC2	2
O15254	ACOX3	2
O15255	NA	2
O15258	RER1	2
O15259	NPHP1	2
O15260	SURF4	2
O15263	DEFB4A	2
O15264	MAPK13	2
O15265	ATXN7	2
O15266	SHOX	2
O15269	SPTLC1	2
O15270	SPTLC2	2
O15273	TCAP	2
O15287	FANCG	2
O15294	OGT	2
O15296	ALOX15B	2
O15297	PPM1D	2
O15304	SIVA1	2
O15305	PMM2	2
O15315	RAD51B	2
O15318	POLR3G	2
O15335	CHAD	2
O15342	ATP6V0E1	2
O15344	MID1	2
O15347	HMGB3	2
O15350	TP73	2
O15353	FOXN1	2
O15354	GPR37	2
O15355	PPM1G	2
O15357	INPPL1	2
O15360	FANCA	2
O15371	EIF3D	2
O15372	EIF3H	2
O15374	SLC16A4	2
O15375	SLC16A5	2
O15379	HDAC3	2
O15381	NVL	2
O15382	BCAT2	2
O15389	SIGLEC5	2
O15392	BIRC5	2
O15393	TMPRSS2	2
O15397	IPO8	2
O15399	GRIN2D	2
O15400	STX7	2
O15403	SLC16A6	2
O15409	FOXP2	2
O15427	SLC16A3	2
O15439	ABCC4	2
O15442	MPPED1	2
O15444	CCL25	2
O15446	POLR1G	2
O15455	TLR3	2
O15457	MSH4	2
O15460	P4HA2	2
O15466	ST8SIA5	2
O15467	CCL16	2
O15479	MAGEB2	2
O15480	MAGEB3	2
O15481	MAGEB4	2
O15482	TEX28	2
O15484	CAPN5	2
O15488	GYG2	2
O15496	PLA2G10	2
O15498	YKT6	2
O15503	INSIG1	2
O15511	ARPC5	2
O15514	POLR2D	2
O15516	CLOCK	2
O15519	CFLAR	2
O15520	FGF10	2
O15524	SOCS1	2
O15525	MAFG	2
O15527	OGG1	2
O15529	GPR42	2
O15530	PDPK1	2
O15533	TAPBP	2
O15534	PER1	2
O15535	ZSCAN9	1
O15537	RS1	2
O15539	RGS5	2
O15541	RNF113A	2
O15547	P2RX6	2
O15550	KDM6A	2
O15552	FFAR2	1
O15553	MEFV	2
O15554	KCNN4	2
O43143	DHX15	2
O43147	SGSM2	1
O43148	RNMT	2
O43150	ASAP2	1
O43151	TET3	1
O43155	FLRT2	2
O43156	TTI1	2
O43157	PLXNB1	2
O43159	RRP8	2
O43167	ZBTB24	2
O43169	CYB5B	1
O43172	PRPF4	2
O43173	ST8SIA3	2
O43175	PHGDH	2
O43181	NDUFS4	2
O43184	ADAM12	2
O43186	CRX	2
O43187	IRAK2	2
O43189	PHF1	2
O43196	MSH5	2
O43236	SEPTIN4	2
O43240	KLK10	2
O43242	PSMD3	2
O43247	TEX33	2
O43251	RBFOX2	2
O432510	NA	2
O43252	PAPSS1	2
O43255	SIAH2	1
O43257	ZNHIT1	2
O43261	NA	1
O43264	ZW10	2
O43278	SPINT1	2
O43280	TREH	2
O43281	EFS	2
O43283	MAP3K13	2
O43290	SART1	2
O43291	SPINT2	2
O43292	GPAA1	2
O43293	DAPK3	2
O43294	TGFB1I1	2
O43295	SRGAP3	2
O43296	ZNF264	2
O43298	ZBTB43	2
O43299	AP5Z1	2
O43300	LRRTM2	2
O43301	HSPA12A	2
O43303	CCP110	2
O43304	SEC14L5	2
O43307	ARHGEF9	2
O43309	ZSCAN12	2
O43312	MTSS1	2
O43313	ATMIN	2
O43315	AQP9	2
