gene_or_protein,study_bias_score
NUB1,10
H1-5,29
OR2S2,1
CHD1,10
TNNT2,10
COG5,30
ZNF772,1
BID,30
CENPO,29
EIF4A3,185
LRATD1,2
EVX2,9
CBR3,18
LBX1,22
FAM120B,12
IRF5,11
PDCD1LG2,21
EPN3,23
CCDC28A,6
FIS1,33
CFLAR,37
GCOM1,1
GADD45B,18
PTPRK,78
SERPINB9,27
DENR,34
PVR,94
CXCL9,67
SLITRK4,1
CNOT9,30
MED13,26
WNT16,11
MAGI1,60
OSMR,12
ATG10,18
NDUFA2,30
SEC24D,16
LYPD2,1
PRTG,2
GRIN2C,3
CAV1,87
TNNI1,39
NLGN2,10
DDHD1,5
SLC35B2,31
ARFIP1,25
NLRP7,2
ZMIZ1,4
SIPA1L2,27
C1orf21,4
IFT27,48
SEC61A2,6
CD48,3
PRR14,19
PCDHGA8,1
C19orf12,1
SMAD7,26
ZNF319,17
OSBPL5,17
DTL,18
MYLK4,4
IGLL5,14
FKBP7,77
NT5C2,16
TRABD2A,1
CTDSPL2,12
CLPTM1,14
SLC33A1,55
CAPN8,4
SYTL1,2
ZRANB3,11
METTL9,14
KBTBD2,4
PKD2L1,2
SEPTIN5,27
ZNF526,69
ARL4A,8
TOX3,3
BRMS1L,26
SNX13,4
CALR,49
TMEM35A,27
PTPN5,29
TCTN3,308
PALLD,33
VCPIP1,36
TMEM132C,1
PLA2G4A,7
PEX14,84
ZNF282,7
B4GALT4,8
KCNA6,5
INSYN1,13
CANX,414
OSBPL3,49
ALOX5AP,8
RBM39,84
SFXN3,41
PAQR8,3
TBX3,15
NDRG2,9
ENDOV,9
ARL13A,2
CALHM4,15
GOLPH3,36
ZNF536,3
MYOF,17
SUN5,1
TPD52L1,15
WARS2,6
ALG8,33
DCAF16,21
KRBOX4,16
CITED2,5
PHF7,16
HSPB9,13
ZNF438,63
C1QL4,47
ARMT1,19
GPHA2,18
FGA,23
ADORA1,5
SLC25A26,1
DPF3,33
COL23A1,2
RASSF9,33
ATXN2L,30
AGO3,66
DND1,7
AMOTL2,95
CHRM5,30
TNFSF11,25
NHLRC3,3
ANXA4,9
CD63,15
SMIM2,2
STT3A,26
AGTR1,73
OCA2,3
FRAT1,5
SLC15A3,8
LILRB1,8
TRPC5,3
TMEM92,12
RRH,1
FZD5,8
FAHD1,13
MKRN3,167
MAP2K4,15
KCNMB4,3
LMX1A,1
SPRY3,26
ZNF761,1
VPS52,114
AREL1,6
CRYAB,53
MAP4K5,12
TMEM54,18
ITPR3,28
NUP62,90
AJUBA,17
CALY,3
PPP1R12A,59
VPS26A,49
MFSD12,9
SNRPA1,77
IFITM2,2
ANXA2R,6
STK10,2
FOXJ1,18
RAB18,19
STXBP4,23
GGA3,26
MAP2K1,66
NOTO,29
STPG3,3
ACTN4,71
EMC7,31
MRPL4,97
KRT13,77
SULT1A1,6
ETV3L,1
MRC2,28
GSPT1,25
NRCAM,5
YBEY,57
PCDHA3,30
RPL4,83
WDR97,1
SLC9A6,29
PGF,1
ATF6B,14
WDFY3,54
PTN,89
C1QTNF2,44
SLC6A20,7
TCL1B,35
B4GALT6,4
CAPRIN1,31
ASNSD1,4
ZBTB1,28
MEIS1,18
SLC22A3,2
EPOR,8
TASP1,3
ACKR1,1
CADPS2,11
IL11,4
SDHAF1,6
SCML2,18
PKDREJ,1
IL24,20
ELMOD2,1
BRAF,49
IRGQ,13
TJP3,3
RCL1,10
ICOSLG,7
NAT2,20
AKT3,32
SLAMF1,59
C6orf120,11
GNGT1,3
ANKEF1,3
EMILIN2,10
NUDCD3,118
ITK,16
TOX,7
ZNF100,5
RAB13,9
GDF5,27
ELAC2,21
FKBP1A,15
CEACAM5,6
GFER,29
HOXC8,92
GGCT,7
SSC4D,1
NOS2,7
LY6G6D,3
LAP3,20
USP39,43
AKT1,132
SIGLEC6,12
GSTA2,5
ZNF578,16
NR2C2AP,7
LRRIQ4,1
FAAP100,28
IFT52,21
CCDC71L,5
FAM166B,21
WDR77,75
PAGE5,1
ARMC4,1
DNAJC15,5
TAGLN3,1
ABCG4,8
GGH,15
THG1L,16
CAMTA1,1
SLC39A13,7
FAM120A,39
MAP2K5,21
TMC6,5
MSH5,5
H3-4,20
CIAPIN1,10
IQCF2,1
PPP1R3G,1
ZNF852,4
TMED5,5
VAMP8,25
DGAT2,2
SPOPL,5
CPEB1,11
HAUS3,50
HDX,15
THAP10,10
TBC1D3F,2
ADGRB2,4
VAT1L,6
STX17,34
PLCG2,30
ZNF334,3
PDP2,7
RNLS,13
SERPINE2,9
ART4,1
KRT80,29
FOXL2,50
MLLT11,11
KRTAP12-1,52
LRRC47,20
CER1,7
RAB2A,67
CELF5,30
ZDHHC22,14
SPATA17,1
LRRK2,1725
CSK,31
RAD54B,24
CCDC88B,39
CFAP300,5
BIK,90
TULP3,105
VSIG2,25
TPPP3,1
RPS6KA3,32
DDHD2,13
P3H2,12
TANK,184
AGAP5,2
ZNF383,5
CCND3,32
SRSF8,30
PIGM,10
INPP5D,20
FBXO32,5
HEG1,3
MACROH2A2,98
MCFD2,9
NPEPL1,2
FAN1,21
TLCD3A,1
CCDC66,14
COG7,20
NR3C2,4
RIT1,15
MRPL41,59
ITGB4,57
IFNA16,1
GJB5,38
B3GALT2,5
KCNV1,1
CDH1,72
ZFYVE19,10
GRP,1
MICAL1,19
ZDHHC8,1
POC1B,41
ZBTB48,99
CARD19,8
SPDYE2,1
CLU,119
ZNF264,28
FLNA,227
NDUFB2,1
SYDE1,8
NOP10,23
RCHY1,23
CILK1,27
ROMO1,5
LCOR,59
TEX13A,21
BHLHE40,93
C15orf61,1
CALM3,5
USP28,14
HAPLN2,41
CYP27A1,5
B3GAT3,20
PPP1R18,97
CSGALNACT2,75
PHKB,13
PPIA,65
ZNF568,2
C12orf75,9
CPA5,14
HOXC6,7
ZMYM4,45
WASF2,31
DAZ1,6
SERPINB6,5
NOS1AP,39
SGTA,181
DOT1L,22
HNF4G,1
LCE2D,52
TACO1,26
USHBP1,204
FCER1A,1
SGSH,3
SAXO1,45
FBXL2,10
CYP2B6,4
PBDC1,14
JMJD4,17
AKR7L,1
ZNF664,9
HDDC3,11
SPACA6,1
ARL6,7
PSRC1,9
H1-6,82
LEPROTL1,78
HSD17B2,1
IL17RA,65
ZNF185,11
FOXJ2,75
ULBP3,22
ERCC3,48
TTYH1,6
JOSD1,27
FAM156A,6
IL32,7
MAB21L2,105
SLC43A3,2
HMGN5,4
FAM209A,221
RPS6KA1,35
RARG,15
ZDHHC18,17
RORC,20
TSC22D2,3
CCL3,2
WDR33,38
EPO,4
NOS3,35
CERS2,31
MIA,1
CMTM6,26
SLCO1C1,2
ARHGAP25,13
BSDC1,7
IL1RAPL1,1
TGIF2LY,25
VARS1,59
SCNM1,170
SLC2A14,6
VIM,195
S100A3,18
C1RL,1
ACAP1,8
TIMP3,20
WFDC10B,1
LOXL4,16
MYPOP,37
TNFAIP1,45
CABCOCO1,3
CEP170,165
MNAT1,37
USP17L2,4
EXOSC10,65
USP37,5
TMEM70,30
ABCA12,3
RAB22A,8
ANAPC10,17
NOP14,19
SV2A,8
DDOST,46
ATF7,35
LIN7B,15
TBL1XR1,33
ZSCAN26,37
VPS39,16
CST3,4
CENATAC,18
ACCS,4
AKAP10,2
KLF6,6
PLN,56
HCCS,39
STYXL1,10
IL12RB2,1
ATP1B4,25
MTX2,32
TNFSF18,1
FAM171A1,8
VPS33B,22
C7orf31,13
ANKRD28,103
TMEM167A,1
B3GALT6,4
ANKRD13A,18
ZNF131,16
CATSPER1,106
KRTAP7-1,35
SH2D3A,6
TATDN2,3
TRMT61B,231
DPEP2,16
NANOS1,1
EMP1,60
AMFR,37
TOMM7,1
CCDC152,4
HR,24
SRRM4,28
HAT1,40
LRRK1,67
SERTM1,13
PAK6,15
CDK11A,39
GSTM5,11
ST6GALNAC1,1
FCHSD1,4
CBL,82
RAB34,8
KCTD21,22
C20orf141,1
BCCIP,33
PSMC1,88
C1orf174,9
SLC39A10,19
FLT4,16
MXRA5,1
CXCL6,12
NFIA,8
RNF111,48
ATG101,43
BRDT,1
DCST1,2
SLC9A1,25
MBD6,7
NOL9,34
BEND4,1
HIGD2A,4
TIMELESS,20
ATP4B,3
ZNF582,1
LIX1,5
CISD1,10
CMYA5,15
WDR27,2
RPS6KC1,9
MYEOV,4
TMEM45A,8
DNAJB14,2
RPS6,310
LCE1E,53
RANBP9,56
TESK1,3
CCN5,5
ZNF398,24
SWAP70,8
SCNN1B,3
RNF24,16
LOC118142757,8
HPS3,4
PROSER3,11
DCC,43
RETREG2,26
ADGRG3,12
ZNF804A,1
CYTH3,13
C1R,5
CPT1B,2
PRKCZ,34
CYP46A1,1
ABHD10,20
CDIP1,14
TTLL6,3
KLHL2,27
VPS51,30
PRMT7,18
ACAD9,68
ENPP2,1
HDHD5,14
MUC3A,1
MLIP,2
SEC23B,35
STON1,1
MAPK14,112
PIGX,1
P2RX2,21
MS4A1,31
ZNF280A,10
TNXB,10
OR2T6,1
HSPA4L,34
ZEB1,5
C2orf69,7
ACP2,31
LRG1,6
ARR3,11
CLTB,62
SIRPG,3
KRR1,37
SLC6A17,1
GTF2H3,9
TNP1,2
TLCD4,77
PXDN,19
MEFV,5
AGAP9,1
ARMH3,1
FGFR2,64
ZNF566,7
SYCE3,46
FBXO15,3
CDK2,176
ZRANB1,158
GTF2I,53
PPIAL4D,2
SLC12A2,23
SNTG2,13
HNRNPF,133
LRP3,3
EIF2S3,31
PIAS3,20
ZNF720,2
COL3A1,8
PRPF38A,42
GPRC5A,13
STYXL2,1
NGFR,21
IMPA2,17
CACNA1F,2
MYL3,8
HTR6,26
CHGB,36
NMUR2,21
NXPH3,11
CCL14,8
TLR7,7
NOX4,3
OR6C1,1
HDAC1,250
NCKAP5L,20
SFXN1,175
MLLT10,24
CUEDC2,9
GPRC5D,27
CNGA3,26
KRT82,24
TMPRSS5,2
COQ8B,44
DCAF11,40
ICA1,10
CA14,31
C1QTNF9B,2
HBE1,6
RECQL5,37
NLRP11,1
HIBADH,38
CNTN1,24
GH2,2
ZNF558,16
ZNF200,2
KHDRBS3,48
SERPINA12,36
LRP5L,2
PURB,19
LAPTM4B,37
ATP2B4,38
PUS7L,5
PLEKHH1,3
SPRYD3,6
MARK1,20
MTRR,3
WDR26,54
FAIM2,3
FRMD5,25
ZNF620,70
PKLR,10
SEC24C,27
IFITM1,3
SAP25,1
ANO1,1
SP100,32
USP35,3
GNG12,14
AIRE,35
TRIM22,6
H2BC11,16
LYRM2,15
TBC1D12,1
HYDIN,2
HIPK4,25
KLHL15,40
SERPINA10,4
DCP2,30
ATXN1,319
NMU,21
AASDH,3
DMPK,12
ASCC1,25
HEXD,9
MFAP1,105
FOXRED1,23
ADGRL3,9
TSPAN17,25
SLC4A7,36
MKLN1,47
CCAR1,30
ETV5,8
C1orf68,4
MYOM3,6
TMEM106B,6
NOMO3,4
STX18,39
ODF2,125
ZNF84,5
UBE3D,15
TAF9,52
ACADS,9
TEX35,31
WHAMM,3
SPDL1,24
POTED,2
B3GNT4,2
SEPTIN11,16
SCYL2,24
HDAC8,17
KIAA0408,27
NELFA,28
PRPF18,81
TMPRSS13,1
SPACA4,6
H2AZ2,18
MFSD3,6
C1QBP,190
CAMKMT,6
COX16,6
PEX11A,1
ACOT2,13
ELOA,57
KANK4,18
PSMA4,43
EVPL,13
ALG11,6
GPHN,16
LEFTY2,2
UBE2E2,48
MCOLN2,1
SNCG,12
GSKIP,3
IPO4,40
LAMA5,23
SLC22A18,28
FLRT1,17
MTERF3,49
RRP1B,461
ZNF324,19
DNTT,4
GAL3ST4,1
WDFY4,1
CPN2,2
ZNF554,3
CSNK1D,64
IRAK1BP1,8
RPS6KA6,30
ARHGAP36,12
POT1,51
C8orf74,10
ULK2,51
TMEM139,39
SLC12A7,27
SMPDL3B,6
LCK,55
HOMER1,41
PAEP,25
PCYT2,11
ZZZ3,30
B4GALT7,25
OTUD7B,24
IL1RL2,6
PCDH7,28
ALPK2,2
RTL10,9
MYL9,14
SPATS2L,19
CDX4,8
RNASE11,1
PCBD1,54
ABTB1,9
RDM1,7
CORO2B,8
CSNK2A3,1
LHX2,22
KLC4,54
CALCOCO2,154
PLCD4,1
PSG11,4
DISP1,2
PLAUR,63
LAMC2,2
PHKG1,1
SPINK7,14
B3GNT7,1
DYNC2H1,15
LRP2BP,19
SHISA6,28
PRDM16,2
KRT78,27
COMTD1,48
CENPQ,40
KCNJ6,61
PKN3,47
ATF2,198
BUB3,63
IFT80,19
CILP2,4
FANCL,51
CCDC7,3
TFCP2,106
PIGB,7
LUC7L3,25
CDKL4,5
CLN6,56
N4BP2,5
FGF11,4
NOC4L,44
PLD2,19
NBEAL1,9
ARMC10,6
ZNF232,46
HELLS,38
AMT,2
SKA3,37
FBXO8,2
ALAD,6
HPS5,16
CKMT2,10
MYPN,4
PCDHGB4,55
EYA3,6
CCDC89,15
DENND11,5
CYP2U1,1
KRT83,38
ELL3,18
TNRC6C,33
DDRGK1,30
SRGAP1,13
RTKN,7
PTPRJ,39
NAA11,13
ATP6V1G1,26
RPL19,46
TEX12,19
KLK11,16
PARD6A,44
RRP7A,28
BNC2,3
GRHPR,3
MCAT,17
NTM,26
POLR2E,86
GIP,8
GCSAM,4
SOX13,11
MAGEB16,1
ALX1,13
SGO1,43
DAP3,70
SYN1,23
CD109,28
NXT2,24
RHOXF1,1
CDC26,24
NAA35,4
SPAG17,1
INHBA,3
SH2D5,3
PAGE3,4
LGSN,2
AUH,5
MARCKS,12
KLHL40,39
CYBA,9
UBE2V2,28
ARL6IP1,78
SPAST,16
NAGLU,20
DNAJC2,10
TAAR1,4
SHISAL2A,2
TRO,22
ZNF514,1
GNB4,33
IL1R1,11
HSD3B2,17
NRL,1
CCNA1,45
ANKRD23,19
VSTM4,8
PIGS,30
FXR2,94
STK26,43
SRGAP2C,3
CFAP74,4
IL13,3
DOCK11,13
STX7,101
IFIT2,38
MC4R,13
HAND2,6
PYROXD2,2
HEMK1,24
DHX16,23
LBHD1,10
RCBTB1,16
TBC1D20,7
LIPC,2
PGM2,4
CLCA2,2
NARF,9
GINM1,46
USP29,2
TBC1D15,45
PTGIR,54
CASP6,10
ZNF234,2
BEND7,77
EIF5A2,13
RAD9A,9
PCNT,43
CYP2E1,2
CERT1,26
GFPT2,11
SMURF1,22
EDEM2,41
PSMA2,49
CBWD2,14
H2BC15,2
GDI2,40
KIF24,18
TMCC3,4
SNX20,18
CTHRC1,2
ENY2,10
PCNA,367
SCX,3
ZMYM5,26
ARHGAP15,5
NKIRAS2,12
GLP2R,2
FADS1,20
OSBPL9,24
RBM45,40
PRPH,48
ACYP2,3
UBA52,45
HERC4,15
AOPEP,14
EPN1,32
COX11,10
AAK1,19
SYTL4,26
MMP1,1
FNIP1,9
SEMA3B,19
REN,4
DDIT4L,208
KIAA0319,4
PRIM1,22
THOC7,42
OTUD6A,12
SPTBN1,81
MAP1LC3B2,10
TUBA1B,47
PPP1R3D,11
CARMIL2,4
TEX10,42
ZNF205,13
ARHGAP45,11
CEP76,104
TBC1D16,5
PTGES2,20
IL19,1
HP,17
GNRH1,7
EXD1,1
TMEM119,1
LCE1A,62
SCAPER,7
TEX36,1
LTBR,65
HNRNPK,173
ZKSCAN7,12
NEUROG2,1
FXYD7,2
LLPH,13
NKX3-2,1
TOP3B,23
GRAMD4,12
CDA,27
CASP7,10
PTPN23,34
PRDM4,5
IRF1,2
SOCS2,5
APOA1,61
CCDC93,31
RCOR3,90
OR2K2,1
ZNF583,1
WDR83,131
APOD,78
PCGF6,59
SULF2,17
KRT72,24
SMTNL2,19
MR1,15
IL10RA,25
LATS1,55
TPTEP2-CSNK1E,2
VSNL1,20
HABP4,15
NDUFB7,53
FGF13,5
SNX6,41
KIF18A,27
RRAD,2
DAPP1,16
LENG8,66
ZHX2,9
PTRHD1,4
CAAP1,10
DNAAF3,1
TNFRSF9,5
LYAR,121
SPNS3,8
VPS50,31
SHB,7
GTF2IRD2B,4
DGCR6,15
ANP32C,3
SF3B4,73
SLF1,7
OTUD3,4
FCGR1A,34
ELK4,2
EEF1A2,91
RNFT1,4
TMEM63A,40
SPTBN4,16
RBAK,35
PEDS1,1
GRSF1,23
ALG6,5
NR1D1,7
STK35,11
TBC1D14,26
THEG,2
GDF15,13
CFL1,61
RNFT2,1
TUBAL3,17
GPR35,64
MPC1,4
ZNF195,8
ATP6V0D1,72
UBP1,21
CYP51A1,14
ACOT12,15
DHRS4,40
TLCD2,2
CCL1,1
MRPL16,30
FBXL20,5
TREML2,7
SHROOM2,9
DENND6B,1
HDHD2,6
SLC52A1,9
SET,86
MTHFS,2
OR7C1,1
H2AC14,3
MTPAP,20
FAM98A,31
TNPO2,79
ABRA,3
RGS11,11
NECAB1,29
GTPBP2,31
PHC1,26
CCDC8,11
ABCA1,23
NR2F2,40
ZNF365,5
ANKRD46,78
MARCHF7,17
CEP126,87
PPP1R15A,141
RBMXL1,18
AHSP,8
TMEM106C,41
TBC1D22A,26
SGMS1,1
LACRT,32
MYL6,60
SERPINB12,10
POLE3,10
PDGFRA,25
MBL2,5
TMEM182,15
TMSB10,8
MED1,63
ERAP1,11
ZBP1,8
DGKG,3
NRXN1,5
DHX34,5
CRHR2,2
CNPY2,17
CCDC86,19
RBBP7,120
NSMCE2,12
TBX2,11
ACVR2B,30
SH3BGR,4
NAB2,76
PES1,59
ECI2,62
GSN,54
OST4,2
ZER1,21
RSL24D1,17
CD164L2,7
GBF1,29
ZNF609,16
SERPINB3,33
GRK5,3
HHLA2,16
ANKRD35,1
PCDHA1,3
ZNF785,83
CCN4,3
ZNF79,7
RGPD2,5
HSPH1,50
FBXO34,27
MYH1,22
GSPT2,30
IFITM3,26
POU5F2,1
GPC4,18
GABARAP,481
RDH11,15
ARHGEF38,4
RAVER1,20
MRPL18,34
TIGD6,20
WDR75,21
SERF2,5
PUS7,5
ZNF430,9
EIF3CL,10
TMEM150A,10
STPG4,1
SBF1,22
ADH1C,2
ASF1B,43
TAF1C,24
GSDME,16
ARHGEF11,22
SLC39A3,8
BRD4,34
C4B,3
FKBP14,24
MRPS24,35
FOXA1,38
OARD1,3
MAP3K2,15
TEF,1
MAN2B2,15
BLZF1,109
MAIP1,76
ITGAV,28
SLC22A5,7
SUPT5H,75
KIF15,20
FRMD3,23
SAMD13,1
ENKD1,200
RIOK3,20
GYS1,64
PCDHB11,48
C1orf189,2
MNDA,159
RAI14,50
CCNL2,46
DGCR8,112
SQOR,26
ANKRD20A1,1
WWC3,8
RNF139,8
EIF3M,44
KCNIP2,11
NDUFS8,42
RNF8,66
CXCR2,36
SP6,11
C9orf16,13
DHRS9,11
CTDSP2,28
RUVBL2,153
NEK4,523
MRM1,70
C6orf15,5
CLRN3,1
GLRA3,1
FBXL4,34
DDX56,75
DRD4,5
AQP5,6
AARS1,13
MBTPS1,10
DDC,1
HSD17B8,15
LARP4B,26
DCPS,4
TMEM177,4
PCDH20,42
TMEM18,2
ILK,214
ZNF544,8
PPP1R9B,30
SRP19,11
ERGIC3,250
CEP89,89
MRPL55,27
KLHL14,8
NDOR1,25
FZD10,55
HTR7,2
SNX21,31
ACKR3,19
ITGA5,22
PPID,35
PPFIA3,12
RPS23,36
ADGRL1,22
RSPH6A,2
CCL25,8
PSMC2,67
NPTX1,32
RARB,15
GLIS1,2
TRAF5,52
HMGCS2,3
FAM83A,29
PRND,1
ARL5B,18
RILP,8
PAK2,86
PRXL2B,8
POLR2C,70
RPRD1A,27
MRPS30,71
CD1D,1
KISS1,1
PPAN,118
DHX30,90
SLC35E1,20
CSTB,14
GATAD2B,76
TAS2R8,2
TEX28,27
SYNRG,15
CHRNB3,2
SIDT2,16
MTCH2,27
SEC61A1,30
ZSCAN5B,3
WDR20,35
BEX1,22
OR10J1,1
TOPBP1,27
PLCD3,15
PPM1A,62
RTL8C,23
SNX27,54
HSPA13,13
GCA,25
SAMD9L,4
HNRNPCL2,11
RPL24,61
AP1M1,84
KLHL24,15
ATP8B4,1
SRGN,15
IHH,1
CFAP44,2
NFS1,46
MORF4L2,78
BOC,9
NDUFAB1,63
SLC7A9,3
ANKRD1,19
BTRC,135
DHTKD1,14
ENC1,8
TACR1,46
CALML3,55
SIRT6,76
KRT3,43
KLF17,1
IL17RB,22
TPM1,82
AHSG,21
PNPT1,22
CHRNB2,6
CCR3,1
POTEB3,34
CEACAM21,33
DUS2,4
C3orf33,7
PCDHA9,7
KRT86,45
TKTL1,5
PPP4R3B,17
CATIP,16
HS6ST1,11
FBXL16,6
SENP8,3
FXR1,86
CCDC184,12
LY86,3
CBLN4,13
CTAG1B,76
SOX5,34
HMG20A,101
YPEL1,6
ARSA,29
GTPBP8,11
FAXDC2,30
LIMD2,1
CETN3,29
GALNT13,3
CCDC170,4
NOSIP,14
MGAT1,7
L1CAM,8
PLCB4,4
RBM42,59
SIK2,26
ACVR1B,8
ATAD3A,199
IFI16,169
PPP2CA,160
CDK18,83
ZFX,4
C11orf1,32
MDM4,38
ECHS1,47
PRG3,31
KRT20,33
CD151,17
LRRC20,4
GORASP1,46
FAM163B,4
NELL2,34
POMZP3,2
NIF3L1,84
NEU2,21
ZNF135,9
EPS15L1,26
GAL3ST3,1
DGKD,9
CCDC88A,62
FES,11
FAM234B,40
FBRS,20
BCAS1,4
DEPDC7,5
TBC1D10A,9
TPCN2,56
LSMEM2,19
FMO2,1
NFU1,22
GAS2L3,13
SLC5A1,1
RPS11,67
RPTN,3
MAPK9,86
DNAJC12,15
NSA2,48
EFR3B,8
PARD3B,2
TMCO5A,5
ARHGEF5,25
CSRP2,12
ALDH18A1,30
C5orf24,24
CEMIP2,12
SPATA6,6
MED9,72
PSMD9,26
CD24,1
WDR13,3
LRIF1,79
CDIN1,4
COL5A1,21
CD68,19
BPI,1
KIAA0100,5
ZNF418,3
SLPI,17
TCF7L2,127
NNT,20
CDC40,26
LTV1,32
PLK2,32
CXCL10,17
HK3,12
ST8SIA5,2
DDX28,22
CYB5R1,20
PRH1,3
DEF6,41
MFSD14A,1
TRIM44,49
ATRNL1,3
KDM1B,21
EXOSC3,34
PRORP,18
SMCO1,5
ZNF555,6
NEK2,37
NPTN,5
TCF12,81
TTL,4
RNASE4,1
RFFL,6
SEMA3C,3
NOP9,41
GLS,47
VGLL4,15
NRARP,2
ZC3H15,20
FKBP2,7
MTMR12,5
ALOX15,4
CFAP20,32
WIPF2,9
CMTM1,1
GDA,5
PAK5,78
TMIGD1,1
SPOP,18
DEDD2,2
RALGAPA1,12
H2BC1,81
KRT37,42
EPC2,24
CCDC185,37
PRKCG,6
DUSP29,26
DENND1B,2
MEIOC,3
TTC39A,2
SLC41A1,32
ZNF608,4
TMPRSS6,1
CEP131,70
LRRIQ3,2
CLDN12,2
PALM3,6
TAF1L,4
FNDC8,5
RFWD3,41
HNRNPLL,47
RASSF10,59
CDCA7,3
SMG1,33
NREP,5
PRTN3,3
LGALS7,51
FOXK2,116
ALCAM,13
YTHDF2,22
VPS37A,8
FRMPD1,3
TLE3,38
GP6,9
ASB7,34
GARS1,29
NFE2L3,8
DLX2,4
TIAL1,56
INO80E,37
ARHGAP5,3
PIAS4,44
PTH,3
BAG4,157
AP1G2,21
SNCB,9
AVP,21
FAM83B,24
TRMU,7
